_id,author,content,tags,authorSlug,length,dateAdded,dateModified
NrvGiElhOT,Samuel Richardson,"Marriage is the highest state of friendship. If happy, it lessens our cares by dividing them, at the same time that it doubles our pleasures by mutual participation.",['Friendship'],samuel-richardson,165,2020-04-14,2023-04-14
EG9yQpz6Ku,Albert Einstein,Few people are capable of expressing with equanimity opinions which differ from the prejudices of their social environment. Most people are even incapable of forming such opinions.,['Society'],albert-einstein,180,2023-04-06,2023-04-14
hL3bSnfjWhS-,Tony Blair,Sometimes it is better to lose and do the right thing than to win and do the wrong thing.,['Famous Quotes'],tony-blair,89,2021-04-15,2023-04-14
S47CRwtgyIsp,Albert Schweitzer,"Constant kindness can accomplish much. As the sun makes ice melt, kindness causes misunderstanding, mistrust, and hostility to evaporate.",['Famous Quotes'],albert-schweitzer,137,2020-03-27,2023-04-14
u3yMrJpE9TSf,Arthur Rubinstein,Of course there is no formula for success except perhaps an unconditional acceptance of life and what it brings.,['Success'],arthur-rubinstein,112,2021-01-20,2023-04-14
iDSY05hYTVIU,Galileo Galilei,All truths are easy to understand once they are discovered; the point is to discover them.,['Famous Quotes'],galileo-galilei,90,2019-10-18,2023-04-14
FGX8aUpiiS5z,G. K. Chesterton,I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on them unless they act.,['Wisdom'],g-k-chesterton,125,2020-04-14,2023-04-14
GKDOjgXUiY,Kahlil Gibran,Let there be no purpose in friendship save the deepening of the spirit.,['Friendship'],kahlil-gibran,71,2019-07-03,2023-04-14
X6UDrdk4ZIk,Francis of Assisi,"Pure, holy simplicity confounds all the wisdom of this world and the wisdom of the flesh.",['Wisdom'],francis-of-assisi,89,2020-03-11,2023-04-14
1n4fgICLEB_g,Pablo Picasso,Action is the foundational key to all success.,['Success'],pablo-picasso,46,2020-02-27,2023-04-14
Z9WzZIllCHeX,Albert Schweitzer,"An optimist is a person who sees a green light everywhere, while the pessimist sees only the red spotlight... The truly wise person is color-blind.",['Famous Quotes'],albert-schweitzer,147,2019-08-16,2023-04-14
Z6jqqs7ksB,Paramahansa Yogananda,"There is a magnet in your heart that will attract true friends. That magnet is unselfishness, thinking of others first; when you learn to live for others, they will live for you.",['Friendship'],paramahansa-yogananda,178,2021-04-15,2023-04-14
Dfvmx8a6ceiB,Marcus Aurelius,"Everything that happens as it should, and if you observe carefully, you will find this to be so.",['Famous Quotes'],marcus-aurelius,96,2020-03-15,2023-04-14
XQKtTxtLnshu,Barack Obama,Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek.,"['Change', 'Wisdom']",barack-obama,145,2021-03-28,2023-04-14
83qqDAKJAP,Lucretius,The fall of dropping water wears away the Stone.,['Wisdom'],lucretius,48,2019-12-13,2023-04-14
l1KvjJfsFv,Alan Watts,"No work or love will flourish out of guilt, fear, or hollowness of heart, just as no valid plans for the future can be made by those who have no capacity for living now.","['Future', 'Life']",alan-watts,169,2022-03-12,2023-04-14
fdSsJN4RCf,Francis Bacon,It is impossible to love and to be wise.,['Wisdom'],francis-bacon,40,2020-01-27,2023-04-14
SDhP8UAmtD09,Barack Obama,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",['Famous Quotes'],barack-obama,106,2020-09-29,2023-04-14
_rEPkuDXaWo,Casey Stengel,Finding good players is easy. Getting them to play as a team is another story.,"['Sports', 'Competition']",casey-stengel,78,2022-07-06,2023-04-14
Bs98LxS5Id,Abraham Lincoln,You cannot escape the responsibility of tomorrow by evading it today.,['History'],abraham-lincoln,69,2022-03-12,2023-04-14
lDffUvkJEnv0,Wayne Dyer,"What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds.",['Famous Quotes'],wayne-dyer,109,2019-03-15,2023-04-14
